id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29455648,"Quiet, centrally located, perfect traffic links",137079407,Volker,,Au-Haidhausen,48.1214599609375,11.577739715576172,Private room,,6,218,2024-11-04,2.95,1,0,43,13950
29479024,Schönes Apartment in Münchner Top-Gegend,222023783,Susanne,,Neuhausen-Nymphenburg,48.1551,11.55411,Entire home/apt,,1,13,2020-09-28,0.18,1,0,0,
29499003,Sleep in the heart of munich No1!,222159766,Ludwig,,Ludwigsvorstadt-Isarvorstadt,48.13555,11.56245,Entire home/apt,271,2,112,2024-12-08,1.51,3,5,14,
29625509,PERFEKT für Messe/ICM & City + schöne Terrasse,222999831,T,,Berg am Laim,48.13001,11.64927,Entire home/apt,,4,20,2022-10-06,0.27,1,0,0,
29629976,1 Bedroom - 17 min from Marienplatz,15628171,Daniela,,Bogenhausen,48.16803,11.64663,Private room,54,1,74,2024-12-12,1.00,1,171,25,
29692694,Big beautiful room in the heart of  Munich_WESTEND,120823314,Jennifer,,Schwanthalerhöhe,48.13704,11.54358,Private room,84,20,93,2024-11-05,1.24,1,89,7,
29733118,Bright room with a private bathroom,158719651,Leyla,,Feldmoching-Hasenbergl,48.21574,11.53597,Private room,,1,60,2024-09-13,0.80,1,0,1,
29774196,Apartment im Akademieviertel München,224010530,Werner,,Maxvorstadt,48.15278,11.57422,Entire home/apt,,3,89,2024-12-10,1.21,1,0,15,
29789001,Möbliertes Wohnen zentral in Maxvorstadt/Georgenst,7201055,Hong,,Schwabing-West,48.1573,11.5725,Entire home/apt,60,300,10,2024-08-31,0.16,1,271,1,
29798276,Cozy Apartment Central in Munich,224185421,Layla,,Schwanthalerhöhe,48.12768,11.54232,Entire home/apt,495,3,9,2023-09-22,0.12,1,90,0,
29843557,Luxuriöse 2 Zi Neubauwohnung (Prinzregentenstr.),22618006,Sabine,,Bogenhausen,48.1394,11.61984,Entire home/apt,280,3,39,2024-10-07,0.54,1,338,13,
29869163,Cozy Room next to Isar/Wiesn/City Centre,18793833,Ekatherina,,Ludwigsvorstadt-Isarvorstadt,48.125135,11.561828,Private room,87,1,17,2024-12-05,1.09,1,269,11,
29896465,Quiet Room in Maxvorstadt / near museums & central,43360234,Sebastian,,Maxvorstadt,48.14862,11.55579,Private room,893,1,20,2019-03-21,0.27,1,89,0,
29923587,Helle Maisonette mit Dachschräge,153253836,Anna,,Schwabing-West,48.158421335266006,11.56456286174854,Entire home/apt,195,1,5,2024-12-04,1.88,1,89,5,
29924503,Cozy Home- center/15min. Central Station,55154601,Miriam,,Ramersdorf-Perlach,48.11551,11.6036,Entire home/apt,,4,4,2022-07-05,0.12,1,0,0,
29951921,Central apartment next to the english garden,71056941,Rafael,,Altstadt-Lehel,48.14495,11.59509,Entire home/apt,,10,10,2023-11-19,0.15,1,0,0,
29952085,Grüne Oase Schwabing-West - Komplette Wohnung,6061076,Laura,,Schwabing-West,48.16095,11.5729,Entire home/apt,90,18,0,,,1,77,0,
29983174,"1 Zi App 35 qm, balcony",225412280,Günther,,Maxvorstadt,48.1567,11.56455,Entire home/apt,,25,22,2020-11-01,0.31,1,0,0,
29984746,Zimmer in schöner Maisonettewohnung Room to Rent,33259444,Gaby,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08684,11.51771,Private room,55,1,235,2024-12-05,3.19,1,147,43,
30000272,Wunderschöne helle 60qm Wohnung,30758180,Martin,,Au-Haidhausen,48.13359,11.6072,Entire home/apt,,2,78,2024-12-23,1.05,1,0,10,
30000851,Sunny 2-Room Apartment - 10 min City Center,6332850,Regina,,Bogenhausen,48.14033,11.61765,Entire home/apt,,4,14,2023-06-12,0.19,1,2,0,
30008225,"Das Appartment im Münchner Osten ""Der Pavillon""",225567490,Stefan,,Tudering-Riem,48.11092,11.7025,Entire home/apt,,2,125,2023-11-12,1.68,1,0,0,
30032868,Penthouse Suite im Hotel im Bunker,87009942,Marion,,Allach-Untermenzing,48.19037,11.46595,Private room,,1,5,2023-06-27,0.13,5,18,0,
30033179,Garden Suite im Hotel im Bunker,87009942,Marion,,Allach-Untermenzing,48.18817,11.46593,Private room,,1,0,,,5,264,0,
30057488,private room/central Munich/female travellers only,62444462,Lisa,,Schwabing-Freimann,48.16782,11.58626,Private room,,2,69,2024-10-07,0.93,1,0,16,
30075642,"Apartment ""Rosa"" desigend by Matteo Thun",51557252,One,,Ludwigsvorstadt-Isarvorstadt,48.12659454345703,11.553213119506836,Entire home/apt,190,1,157,2024-12-22,2.13,23,196,43,
30076654,Privatzimmer in ruhiger Lage,901512,Janine,,Berg am Laim,48.12183,11.63006,Private room,95,2,27,2024-09-23,0.94,1,317,12,
30085755,Business-Apartment near the Trade Fair Center,34295818,Anna,,Tudering-Riem,48.133488,11.697076,Entire home/apt,50,3,56,2024-12-12,0.77,3,48,3,
30091782,"1 Zimmer der Wohnung sind frei,16Min.S-BahnzumHbf.",20684554,Jiaxiang,,Aubing-Lochhausen-Langwied,48.14003,11.42027,Private room,,1,39,2024-08-31,0.53,1,0,15,
30109190,Ein Zimmer Studio Apartment Messe nah,65268063,Rashid,,Tudering-Riem,48.14307,11.67734,Entire home/apt,,1,18,2021-10-31,0.26,1,0,0,
30149648,"Apartment ""Sophia"" designed by Matteo Thun",51557252,One,,Ludwigsvorstadt-Isarvorstadt,48.1266,11.55321,Entire home/apt,144,1,96,2024-11-17,1.31,23,201,15,
30170474,Cozy Room - 15 mins of City Center and Oktoberfest,86479283,Sitanshu,,Sendling,48.10999,11.53709,Private room,,2,20,2023-12-10,0.27,1,0,0,
30253489,Toplage Studio mit Garten & Terrasse,227190350,Gudrun,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08624,11.53486,Private room,79,2,22,2024-10-11,0.32,3,89,5,
30260775,Home away from home,41703931,Lena,,Schwanthalerhöhe,48.13184,11.5367,Private room,,1,25,2022-06-02,0.34,1,0,0,
30260989,Zimmer in gemütlicher Altbauwohnung,227246913,Florian,,Bogenhausen,48.14111,11.60451,Private room,40,3,2,2023-11-19,0.13,1,313,0,
30269715,Renovated studio apartment in Munich,12647772,Nevena,,Sendling-Westpark,48.11949,11.53617,Entire home/apt,87,2,4,2024-12-06,0.05,1,57,1,
30310954,Relax Room GM Schwabing:),160773037,Giuseppe,,Schwabing-West,48.17307,11.57247,Private room,,2,12,2021-10-31,0.16,1,0,0,
30337738,Modern 2- room appartment - central but quiet,38321955,Eileen,,Neuhausen-Nymphenburg,48.14434,11.51353,Entire home/apt,259,2,42,2024-10-06,0.57,1,88,8,
30363681,"Double Room, Downtown Vi Vadi Hotel",219447456,Vi Vadi Hotels,,Maxvorstadt,48.14321,11.55895,Hotel room,118,1,2390,2024-12-26,32.37,3,334,926,
30459340,"Charming, Cozy and Romantic at Nymphenburg Palace",228684348,Schlomo Ronen,,Neuhausen-Nymphenburg,48.15451,11.50435,Hotel room,110,1,275,2024-12-18,3.79,3,274,10,
30464162,"Helle, moderne Wohnung nahe Olympiapark und BMW",45919607,Amir,,Milbertshofen-Am Hart,48.18119,11.56611,Entire home/apt,100,3,1,2019-04-22,0.01,1,59,0,
30527757,"Quiet, Spacious, Central Loft in Museum & Uni Area",25185102,Christopher,,Maxvorstadt,48.15072,11.58016,Entire home/apt,,4,4,2020-07-30,0.06,1,0,0,
30551967,Cozy two room appartment in the heart of munich,10074859,Tobias,,Ludwigsvorstadt-Isarvorstadt,48.12906,11.57178,Entire home/apt,,2,17,2023-09-17,0.23,1,0,0,
30713876,"Modern / close to center / flat (64m², 2 rooms)",16370178,Cathy,,Laim,48.13916,11.50816,Entire home/apt,,7,0,,,3,0,0,
30804440,Cozy Apartment,4982111,Alan,,Moosach,48.17986,11.51672,Entire home/apt,,8,5,2024-01-15,0.07,1,0,1,
30817927,Two rooms comfortable apartment,17494935,Amr,,Berg am Laim,48.12657,11.63182,Entire home/apt,133,6,4,2020-07-25,0.06,1,10,0,
30847700,Cosy Apartment in Munich,35354737,Sebastian,,Neuhausen-Nymphenburg,48.14922,11.54496,Entire home/apt,150,3,6,2024-07-28,0.08,1,52,1,
30895539,Business-Appartment near the Trade Fair Center/N,8708631,Y An Xia,,Tudering-Riem,48.13452,11.69752,Entire home/apt,,3,52,2023-10-01,0.71,2,64,0,
30905871,Business-Appartment near the Trade Fair Center/G,8708631,Y An Xia,,Tudering-Riem,48.13436,11.69723,Entire home/apt,27,1,49,2024-10-07,0.68,2,66,9,
30907337,"Charming, Cozy and Romantic at Nymphenburg Palace",228684348,Schlomo Ronen,,Neuhausen-Nymphenburg,48.15252,11.5054,Hotel room,100,1,43,2024-11-22,0.59,3,275,6,
30907740,"Charming, Cozy and Romantic at Nymphenburg Palace",228684348,Schlomo Ronen,,Neuhausen-Nymphenburg,48.15233,11.50407,Hotel room,110,1,36,2023-07-08,0.52,3,272,0,
30907758,My room-apartment with balcony near trade fair,34295818,Anna,,Tudering-Riem,48.13443,11.69596,Entire home/apt,75,2,53,2024-12-06,0.72,3,27,20,
30942999,Spacious room with a small balcony,119073392,Maria,,Au-Haidhausen,48.13244,11.59533,Private room,42,1,34,2024-12-08,0.47,1,5,12,
30946239,Cozy and Quiet room with WiFi near BMW,231241109,Johan,,Milbertshofen-Am Hart,48.18774,11.56584,Private room,,3,8,2021-01-25,0.11,2,0,0,
30974616,Oktoberfest apartment in Munich-Riem near subway,231427261,Marc,,Tudering-Riem,48.13454,11.69603,Entire home/apt,,2,5,2022-10-29,0.18,1,0,0,
30981905,Stylish Apartment in Munich’s Most Charming Area,8080730,Nathalie,,Schwanthalerhöhe,48.13655,11.53579,Entire home/apt,,7,12,2024-10-10,0.17,1,0,2,
30982426,Klein aber oho renoviert,16167156,Monika,,Ramersdorf-Perlach,48.10263,11.62123,Private room,24,1,158,2024-11-18,3.89,5,28,46,
30982452,"Room in spacious, central apartment.",38166838,Kilian,,Au-Haidhausen,48.13741,11.59764,Private room,,1,73,2024-02-09,1.01,1,0,1,
31014001,Family-B  5P 2-BedR / 3-Zi Apart Munich Center,214761589,Yousri,,Ludwigsvorstadt-Isarvorstadt,48.13725,11.56151,Entire home/apt,339,1,46,2024-11-12,0.65,4,8,18,
31048613,Apartment Rose,215423692,Andreas,,Bogenhausen,48.15378,11.64024,Entire home/apt,,4,19,2024-10-03,0.26,2,234,5,
31052391,Quiet room with WiFi and private kitchen,231241109,Johan,,Milbertshofen-Am Hart,48.18636,11.56445,Private room,,3,7,2021-02-28,0.10,2,0,0,
31122798,My room-Trade fair apartment,34295818,Anna,,Tudering-Riem,48.13241,11.69581,Entire home/apt,63,3,54,2024-11-16,0.74,3,18,28,
31200734,My room 32 im Riem Messestadt Muenchen,220787350,Po Law,,Tudering-Riem,48.13293068185637,11.697731540960971,Entire home/apt,55,1,128,2024-12-24,1.82,1,128,32,
31225901,Beautiful central room in shared apartment,10689698,Vanessa,,Schwabing-West,48.160679478722045,11.572197144444733,Private room,,2,0,,,1,0,0,
31272708,Ruhiges Zimmer in Perlach,234020456,Stephan,,Ramersdorf-Perlach,48.09588,11.63124,Private room,55,2,85,2024-10-19,1.17,1,139,22,
31275074,Über den Dächern von München,1399810,Andrea,,Schwabing-West,48.16467,11.56955,Entire home/apt,140,7,9,2022-08-15,0.15,1,26,0,
31279266,xxx,234071856,Iris,,Maxvorstadt,48.15548,11.56509,Entire home/apt,649,30,19,2020-02-22,0.27,1,358,0,
31328377,Quaint in J-kirch,234519571,Andie,,Bogenhausen,48.17037,11.64399,Entire home/apt,,1,10,2020-08-24,0.14,1,0,0,
31334850,MyRoom4 - Top Munich Serviced Apartments,234580169,Jewgenij,,Tudering-Riem,48.13216,11.69809,Entire home/apt,67,1,362,2024-12-13,5.77,1,28,91,
31352153,"Quiet room, next to fairground, 1 pers, double bed",211958889,Annegret,,Berg am Laim,48.11924,11.6431,Private room,88,2,21,2024-10-09,0.29,2,44,5,
31376955,Beautiful Apartment in the heart of Munich!,20212546,Christian,,Neuhausen-Nymphenburg,48.14784,11.54144,Entire home/apt,,2,17,2020-08-03,0.24,1,0,0,
31433100,Modern Two Bedroom Apartment,97932492,Park Hotel,,Laim,48.13397,11.51086,Private room,,1,79,2023-07-24,1.10,4,299,0,
