id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,last_review
944648,"Apartment, 39qm, MÜ Sendling-Westpark mit TG",Sendling-Westpark,48.12184,11.5341,Entire home/apt,42.0,90,215,43,2024-10-03
958987,Oktoberfest  complete 4 flat central happy groups,Ludwigsvorstadt-Isarvorstadt,48.12392,11.55129,Entire home/apt,450.0,4,198,16,2019-09-28
974971,Cosy 3 room Apt. in Mü-Riem Messe,Tudering-Riem,48.13359,11.68767,Entire home/apt,119.0,3,159,253,2024-12-01
979733,Comforable 3 room apart. in Munich Messe 2ndFl,Tudering-Riem,48.1338,11.68832,Entire home/apt,113.0,3,133,228,2024-12-11
991111,One room City Apartment,Maxvorstadt,48.14143,11.56165,Entire home/apt,181.0,1,333,485,2024-12-23
991132,One room City Apartment,Maxvorstadt,48.14155,11.56007,Entire home/apt,192.0,1,350,435,2024-12-24
1040420,Family apartment in central Munich,Bogenhausen,48.13905,11.60826,Entire home/apt,141.0,1,48,820,2024-12-24
1053919,Sunny Apartment w/sundeck in Munich,Berg am Laim,48.1208,11.63745,Entire home/apt,135.0,2,163,185,2024-10-28
1064368,2 Rooms App. in Munich,Milbertshofen-Am Hart,48.1777,11.58381,Entire home/apt,120.0,180,364,0,
1071257,Cozy room + privat bath Munich/Schwab/ Octoberfest,Maxvorstadt,48.14986,11.57504,Private room,71.0,2,212,705,2024-12-23
1132304,"central, bright & nice attic flat",Altstadt-Lehel,48.13811,11.58574,Entire home/apt,189.0,5,10,30,2024-05-27
1150841,Zimmer an der U 6 (Nähe Klinikum Großhadern),Hadern,48.11452,11.48032,Private room,89.0,3,82,6,2024-08-03
1158720,Big Bright Room Near S-Bahn (Train) 20 m²,Sendling,48.10807,11.53767,Private room,51.0,1,19,930,2024-11-06
1228729,Cozy room - 15min to city center,Berg am Laim,48.12895,11.61892,Private room,62.0,2,48,20,2024-10-12
1238578,Super Zimmer in Haidhausen München,Au-Haidhausen,48.13528,11.5981,Private room,89.0,1,53,13,2024-12-04
1328998,5 min zu Oktoberfest zu fuss :),Ludwigsvorstadt-Isarvorstadt,48.12444,11.55483,Entire home/apt,450.0,2,365,0,
1432296,"Central, 32m² furnished, Balcony",Sendling,48.1151,11.53754,Entire home/apt,70.0,5,66,12,2024-12-22
1434387,"17 min from City Center, 50 sqm, Free Parking",Sendling-Westpark,48.10476,11.53142,Entire home/apt,126.0,1,263,105,2024-11-23
1444156,Zweizimmerwohnung am Englischen Garten - long term,Altstadt-Lehel,48.14639,11.59386,Entire home/apt,150.0,180,240,1,2020-10-31
1460173,Cozy Apartment near City Center (ca. 15min),Obergiesing,48.10506,11.59536,Entire home/apt,250.0,2,364,5,2017-09-17
1481022,Munich Central in Giesing,Obergiesing,48.11466217041016,11.579845428466797,Entire home/apt,65.0,2,300,302,2024-12-03
1483012,"TraumZ. ,hell, zentral+eige.Zugang",Milbertshofen-Am Hart,48.18774,11.57882,Private room,45.0,2,360,13,2017-07-14
1505430,MUNICH OKTOBERFEST 2 rooms 4 people,Feldmoching-Hasenbergl,48.21767,11.54281,Private room,45.0,1,99,11,2018-05-30
1505830,Central apartment with tram to Marienplatz,Maxvorstadt,48.15058765916421,11.556010607445812,Entire home/apt,103.0,3,28,9,2024-12-10
1518352,Cosy Apartment in Munich,Au-Haidhausen,48.13336,11.60337,Entire home/apt,120.0,3,226,233,2024-12-16
1534335,Quiet appartement for two in Munich Laim,Laim,48.12815,11.50612,Entire home/apt,60.0,28,57,147,2024-08-28
1537237,Dream in Trudering,Tudering-Riem,48.11508,11.68651,Private room,65.0,1,358,124,2024-11-15
1553501,Stilvolle Neubauwohnung mit Grill-Loggia,Schwabing-West,48.17526,11.58072,Entire home/apt,199.0,5,35,61,2024-09-02
1582913,"Beautiful flat, very central",Schwabing-West,48.16187,11.57448,Entire home/apt,88.0,58,271,20,2024-08-31
1585526,Tolle Altbauwohnung im Zentrum Münchens,Schwanthalerhöhe,48.1385,11.52979,Private room,216.0,2,365,5,2023-08-27
1597701,Munich - cozy room! city center,Obergiesing,48.1155,11.58079,Private room,79.0,2,33,289,2024-12-12
1604360,Complete Accommodation 2 Bedrooms 4 People,Berg am Laim,48.12361,11.61602,Entire home/apt,257.0,3,230,60,2024-10-09
1612474,Bijou: 3-Z.-Whg.  Bestlage Schwabing Engl.-Garten,Schwabing-Freimann,48.15418,11.58815,Entire home/apt,98.0,7,263,5,2021-08-05
1637127,Nice room in a quiet 2-room Apartment.. 2 beds,Milbertshofen-Am Hart,48.18479,11.56438,Private room,59.0,1,326,669,2024-12-24
1639990,Zimmer mit eigenem Bad - messenah,Bogenhausen,48.15024,11.63468,Private room,66.0,2,83,46,2024-11-12
1642680,QuiteRoomCloseToMunich´sCenter,Sendling,48.11606,11.55044,Private room,45.0,120,271,8,2017-07-05
1648891,Room - Heart of Munich,Maxvorstadt,48.15344,11.5759,Private room,850.0,300,364,0,
1651743,2 Room App. near Viktualienmarkt,Ludwigsvorstadt-Isarvorstadt,48.13204,11.57856,Entire home/apt,134.0,180,365,1,2018-06-14
1654425,Attic apartment with own bathroom near subway,Untergiesing-Harlaching,48.10398,11.57862,Entire home/apt,90.0,3,64,289,2024-12-15
1659079,Cozy flat-close to the city centre and Oktoberfest,Schwanthalerhöhe,48.13727,11.54448,Entire home/apt,180.0,3,0,11,2024-10-07
1666610,"BAUMA Munich 2022, 3 separate rooms, fits 6 people",Feldmoching-Hasenbergl,48.21806,11.54237,Private room,69.0,3,112,2,2015-06-25
1671501,"Guest room, 2 stops from Messe",Berg am Laim,48.1287,11.65576,Private room,90.0,1,341,65,2024-12-04
1674377,Gemütliches Privatzimmer im DG mit sep. Bad,Tudering-Riem,48.11646,11.68853,Private room,110.0,3,232,40,2024-10-06
1680894,Gemütliche kleine Wohnung(34qm) Isarnah - Citylage,Untergiesing-Harlaching,48.11518,11.56849,Entire home/apt,99.0,5,340,31,2024-06-21
1682832,Large room ideal for 4 guests next to Oktoberfest,Ludwigsvorstadt-Isarvorstadt,48.13672637939453,11.55678367614746,Private room,120.0,1,267,63,2024-12-04
1711536,Placetostay Oktoberfest Munich,Schwabing-Freimann,48.20468,11.59673,Private room,80.0,1,0,11,2024-09-29
1726369,New! Very close to Westprk and City,Sendling-Westpark,48.1261,11.53603,Entire home/apt,399.0,2,0,0,
1734262,Living in Munich at the Park,Schwabing-Freimann,48.17559,11.58304,Entire home/apt,120.0,180,364,0,
1744173,Quiet/central 1 spacious room in Au-Haidhausen,Au-Haidhausen,48.12261,11.58858,Private room,160.0,2,87,29,2018-10-14
1758254,Spacious apartment in Munich's top location *,Schwabing-Freimann,48.17183,11.60026,Entire home/apt,165.0,3,110,12,2024-07-29
1780894,Glockenbach -cosy high ceiling room,Ludwigsvorstadt-Isarvorstadt,48.13039,11.56959,Private room,80.0,1,302,60,2024-12-24
1805167,Placetostay Attic Munich,Schwabing-Freimann,48.20489,11.59621,Private room,60.0,1,129,38,2023-10-25
1865548,Quiet flat close to central station,Maxvorstadt,48.14333,11.55844,Entire home/apt,154.0,1,115,926,2024-12-25
1933035,Nice room in a quiet location,Milbertshofen-Am Hart,48.20263,11.57577,Private room,48.0,2,341,160,2020-09-15
